title,completePostUrl,imageUrl
New data on Trase shows soy trade from Brazilâ€™s Cerrado driving emissions,https://medium.com/trase/new-data-on-trase-shows-soy-trade-from-brazils-cerrado-driving-climate-emissions-10cc949a04c4,/content/system/content/posts/images/000/000/052/small/DAN_7631.jpg?1544716775
What do Brazil's elections mean for the country's forests?,https://medium.com/trase/what-do-brazils-elections-mean-for-the-country-s-forests-56b10cb70eee,/content/system/content/posts/images/000/000/050/small/AerialViewAmazon_NeilPalmer_CIAT.jpg?1537969734
Soy traders in Cerrado under fire for illegal activities,https://medium.com/trase/soy-traders-in-cerrado-under-fire-for-illegal-activities-3138f4d4d4e1,/content/system/content/posts/images/000/000/045/small/iStock-493967590_soy_harvest_editorial_use_only_small.jpg?1527165501
Three pitfalls on the way to traceable supply chains,https://medium.com/trase/three-pitfalls-on-the-way-to-traceable-supply-chains-668b11692a65,/content/system/content/posts/images/000/000/044/small/container_ship_bathyporeia_flickr.jpg?1526900396
MATOPIBA: Brazil's soy frontier,https://medium.com/trase/matopiba-brazils-soy-frontier-9ad4cc6fe2d9,/content/system/content/posts/images/000/000/041/small/piaui_timeseries2.png?1523630363
Joining the dots through the Supply Chain Transparency Network,https://medium.com/trase/joining-the-dots-through-the-supply-chain-transparency-network-9c6c0bdf72a7,/content/system/content/posts/images/000/000/039/small/AAsoy5.jpg?1520934932
Guest Blog: Corporate commitments: Necessary but not sufficient,https://medium.com/trase/corporate-commitments-necessary-but-not-sufficient-to-end-tropical-deforestation-45da39f49a4c,/content/system/content/posts/images/000/000/036/small/Corporate_commitments.png?1520504051
"Guest Blog: Deforestation-Free Supply Chains, 8 Traps to Avoid",https://medium.com/trase/for-companies-aiming-for-deforestation-free-supply-chains-8-traps-to-avoid-a1757a991658,/content/system/content/posts/images/000/000/035/small/8_traps_to_avoid.jpeg?1520504028
Guest blog: Are zero-deforestation pledges slowing deforestation?,https://medium.com/trase/are-zero-deforestation-pledges-slowing-deforestation-without-more-transparency-we-just-dont-know-944123431d38#.yxfh2432c,/content/system/content/posts/images/000/000/034/small/Zero_deforestation_pledges.jpeg?1520504012
What's new on Trase?,https://medium.com/trase/whats-new-on-trase-ee79ca882b70,/content/system/content/posts/images/000/000/051/small/screengrab_new_data.PNG?1544612256
Trase Yearbook 2018: A Spotlight on Brazilian Soy,http://yearbook2018.trase.earth/,/content/system/content/posts/images/000/000/049/small/Toby_Gardner_-_soy_field_small.JPG?1530193558
New Trase release brings even greater transparency to Brazilian soy supply chains,https://medium.com/trase/new-trase-release-brings-even-greater-transparency-to-brazilian-soy-supply-chains-f42f15e71c6d,/content/system/content/posts/images/000/000/038/small/New_Trase_release.png?1521121055
How Trase links companies and commodities to deforestation risk,https://medium.com/trase/how-trase-links-companies-and-commodities-to-deforestation-risk-4f371a66efaf,/content/system/content/posts/images/000/000/037/small/Linking_companies_to_deforestation.jpeg?1521199956
How tracking product sources may save world's forests,https://e360.yale.edu/features/tracking_commodities_to_save_world_forests_trase,/content/system/content/posts/images/000/000/040/small/Tracking_products.jpg?1520511658
Supporting governments to eliminate deforestation from commodity trade,https://medium.com/trase/supporting-governments-to-help-eliminate-deforestation-from-international-commodity-trade-6a25348ae0c1,/content/system/content/posts/images/000/000/027/small/Supporting_governments_to_end_deforestation.jpeg?1520503920
From commitment to action?,https://medium.com/trase/tracking-progress-on-zero-deforestation-commitments-through-radical-transparency-b3045e7155de,/content/system/content/posts/images/000/000/023/small/Commitments_to_action.jpeg?1520503891
Tracking illegality in global timber trade with BV Rio and Trase,https://medium.com/trase/seeing-the-wood-for-the-trees-using-big-data-to-track-illegality-in-global-timber-trade-664a3c65251e,/content/system/content/posts/images/000/000/029/small/Illegality_in_timber_trade.jpeg?1520503988
Derisking commodity supply chains,https://medium.com/trase/de-risking-company-supply-chains-to-deliver-on-ambitious-sustainability-commitments-5952d2455f81,/content/system/content/posts/images/000/000/032/small/Derisking_commodity_supply_chains.jpeg?1520503945